nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x
0.53924847,0.29887494,0.568525,0.2887368,0.5663295,0.28689155,0.6255227,0.26318702,0.62155706,0.25897065,0.649311,0.26768202,0.6497533,0.25856376,0.63296217,0.27008593,0.6326469,0.27105713,0.6647409,0.27809137,0.6645476,0.26642856,0.7095655,0.28223136,0.70435345,0.26183125
0.18892248,0.6529989,0.21824846,0.48891076,0.23983197,0.5228271,0.38737097,0.3942142,0.43612868,0.48037606,0.4940527,0.4072089,0.533143,0.5457915,0.57644635,0.37486273,0.5832391,0.3902966,0.8215091,0.38943437,0.83190644,0.54530436,0.965282,0.3050036,0.9798782,0.5965866
0.14196105,0.59939396,0.17531149,0.47530687,0.18376473,0.49163294,0.36815327,0.4872857,0.38157284,0.49213508,0.4476965,0.6123919,0.46660227,0.6244722,0.46697044,0.37345183,0.46920767,0.3892306,0.70842665,0.4032551,0.7222901,0.5057096,0.8815195,0.3311507,0.97315776,0.5393059
0.12907286,0.57690704,0.17184003,0.43010497,0.20743558,0.5017679,0.32984665,0.51092535,0.3525528,0.53386086,0.36014682,0.6206469,0.38382408,0.6526046,0.44582602,0.3447203,0.45215088,0.40989956,0.6511401,0.35783482,0.6591917,0.47515258,0.8304305,0.3590352,0.87988067,0.4707928
0.13219604,0.53952026,0.15343428,0.38466382,0.19509201,0.48385593,0.3000621,0.3832466,0.3320692,0.55088353,0.27712527,0.5228952,0.31270272,0.5682726,0.44755954,0.31388673,0.4534741,0.36535943,0.640362,0.33123693,0.6471655,0.43758136,0.833947,0.3276133,0.8426843,0.38353908
0.13836767,0.59018904,0.18381906,0.43591002,0.20142493,0.4994499,0.2862151,0.5113926,0.30110282,0.60594505,0.2626061,0.59150976,0.2990657,0.6149108,0.472846,0.340694,0.47887936,0.39038792,0.68981946,0.37037003,0.70406735,0.45812637,0.86376846,0.3383005,0.8894629,0.35091525
0.14726853,0.5786981,0.18176387,0.39323613,0.21869032,0.52509254,0.22898771,0.46123043,0.26391837,0.61500883,0.21545315,0.5570945,0.22251631,0.6133369,0.47974402,0.30762294,0.4882996,0.3831366,0.68070436,0.35244647,0.70658195,0.4266344,0.85846585,0.29236543,0.9026539,0.3216229
0.15177825,0.5854463,0.18378043,0.41098163,0.22277303,0.54641384,0.22706217,0.34736466,0.2673171,0.5918266,0.20689838,0.3740582,0.17610839,0.62216073,0.47380406,0.3173085,0.48385623,0.4068758,0.6781713,0.32589063,0.703798,0.44044992,0.84465706,0.24727818,0.8894177,0.3306955
0.14595331,0.61913747,0.18442431,0.44997227,0.2092236,0.55993134,0.30933875,0.37549028,0.30012915,0.5247536,0.26334074,0.402742,0.23552376,0.5467986,0.46467745,0.37462735,0.47448266,0.44207758,0.6822417,0.33818817,0.700183,0.476867,0.8676746,0.22314942,0.8839663,0.355556
0.16446161,0.670404,0.21296929,0.5638132,0.21427146,0.55939317,0.35930875,0.4797223,0.37104085,0.48781657,0.3749219,0.4745695,0.45082372,0.47184324,0.48212847,0.48685446,0.47737283,0.45601174,0.7107975,0.5398559,0.6956873,0.3251029,0.9001544,0.4209097,0.8646973,0.20648845
0.1535526,0.6911428,0.19027206,0.48929223,0.21505922,0.64586717,0.32686278,0.4239652,0.34315062,0.57357323,0.2784481,0.44752145,0.3528344,0.5397578,0.47189987,0.457043,0.48315686,0.51683235,0.67271996,0.32895467,0.7098402,0.5944309,0.87569356,0.16724242,0.9059867,0.4713521
0.14836599,0.7189702,0.21774319,0.6830787,0.20694895,0.5597426,0.37420043,0.60052407,0.36211798,0.51151896,0.4406179,0.5703457,0.4866861,0.561386,0.5093937,0.5646512,0.49895507,0.49083957,0.6934242,0.66355056,0.69237655,0.33816838,0.8690119,0.545731,0.8744459,0.17418624
0.16286519,0.72344524,0.23073603,0.5338641,0.24651861,0.6933068,0.36598873,0.4808002,0.3766631,0.63500535,0.25168058,0.49458453,0.29639032,0.6105498,0.5521284,0.5419496,0.5569358,0.51717514,0.6901313,0.7034799,0.72620547,0.33598685,0.89099926,0.5908087,0.9122072,0.14864258
0.14763159,0.6675518,0.22408897,0.4890624,0.24210273,0.670625,0.34544626,0.49451128,0.3429461,0.6309165,0.267121,0.5393978,0.28765565,0.60582465,0.5243325,0.46211246,0.5401389,0.53098655,0.66380715,0.6830083,0.66598463,0.67977726,0.8562165,0.61042386,0.886724,0.13229069
0.16025245,0.65155977,0.2386788,0.45844826,0.26438615,0.6420701,0.39808303,0.442468,0.4119106,0.5558927,0.46770886,0.5143573,0.5115053,0.5490643,0.5298583,0.41750544,0.55131066,0.51300955,0.7163336,0.2908748,0.654635,0.665174,0.8744065,0.1349468,0.8581884,0.6117344
0.13670671,0.632728,0.24627519,0.44081798,0.2569981,0.6721183,0.41543436,0.3719068,0.39970267,0.5806674,0.42925158,0.48811442,0.45835683,0.53894323,0.53706455,0.41455013,0.55548286,0.52982825,0.725034,0.28680256,0.658174,0.68425936,0.90456355,0.13937643,0.88822037,0.6438906
0.14780168,0.61462563,0.24540728,0.42572546,0.2586414,0.6248625,0.3960571,0.3346882,0.4030238,0.5485963,0.34801358,0.4007342,0.5036369,0.5224103,0.54256606,0.3865753,0.56525254,0.5068884,0.72195596,0.26185623,0.65524274,0.65671426,0.8976236,0.14615233,0.87724656,0.620199
0.14144258,0.607623,0.24007452,0.4053191,0.25357133,0.61816776,0.40290773,0.32578656,0.4034955,0.54466575,0.36594912,0.39142627,0.5088568,0.5108148,0.5403913,0.38824502,0.554201,0.50442314,0.7142624,0.25520787,0.6441872,0.6496693,0.8810806,0.14519359,0.8571488,0.6279849
0.12985572,0.6122364,0.2321381,0.4240715,0.24630508,0.62390834,0.37990153,0.32685786,0.40114415,0.5536399,0.46679592,0.39885595,0.5057648,0.519298,0.5258909,0.39273006,0.54553926,0.5088549,0.71248186,0.2758447,0.6473264,0.66386515,0.88109577,0.14873661,0.8559635,0.636863
0.12357962,0.59515065,0.23776497,0.42262822,0.25749344,0.6401296,0.3871124,0.3354573,0.40166995,0.56662726,0.45325014,0.4068685,0.50524443,0.5238504,0.54001945,0.39576045,0.55665314,0.5128705,0.7202007,0.2855402,0.6580887,0.6680496,0.88173056,0.15599868,0.8718259,0.6375158
0.12447656,0.6169109,0.23889382,0.4378611,0.26602018,0.66010165,0.36828867,0.35759345,0.41591588,0.59188724,0.4336977,0.4527327,0.5028031,0.53378516,0.53364426,0.41580796,0.55697316,0.52537256,0.72041774,0.29855317,0.6583641,0.6846404,0.89946604,0.15263619,0.88927823,0.6357501
